23,3,4,1,1,2,0.1,1,0.88462,0.33333,23,0.25,0.041667,0.037037,11.5
2.4,1.4,1,0.3,0.001,3.3223,0.29167,300,0.63158,0.21429,2400,0.21413,0.12495,0.078927,7.9734
15,4,2,2,1,0.66667,0.19048,2,0.78947,0.5,15,0.4,0.125,0.1,5
4.94,1.52,4.06,0.9,0.001,4.5061,0.14449,900,0.76471,0.59211,4940,0.59172,0.18215,0.1393,5.4828
9.1,11.7,5.2,1.8,0.9,1.9259,0.45,2,0.4375,0.15385,10.111,0.14286,0.18,0.082949,3.3704
0.001,1.18,1.6,1.1,0.6,0.94118,0.42431,1.8333,0.00084674,0.9322,0.0016667,0.61798,1.8303,0.61763,0.00058824
0.001,1.78,1.02,2.16,0.42,0.39535,0.63549,5.1429,0.00056148,1.2135,0.002381,0.98182,5.1306,0.98137,0.0003876
80,10,1.5,4,0.001,0.37491,0.10929,4000,0.88889,0.4,80000,0.39996,0.049999,0.044444,19.995
10,5,4,14,2,0.25,0.26316,7,0.66667,2.8,5,2,1.1667,0.82353,0.625
2.9,1.5,0.6,0.53,0.001,1.1299,0.3,530,0.65909,0.35333,2900,0.3531,0.1827,0.12043,5.4614
5.5,3.4,11.2,1.3,0.001,8.6088,0.16915,1300,0.61798,0.38235,5500,0.38224,0.23632,0.14605,4.2275
42.02,33.61,14.85,8.96,0.56,1.5599,0.37146,16,0.5556,0.26659,75.036,0.26222,0.21043,0.1176,4.4139
5.8,2.7,1.8,0.8,0.001,2.2472,0.26214,800,0.68235,0.2963,5800,0.29619,0.13791,0.094107,7.2409
3.9,1.3,1.5,0.8,0.001,1.8727,0.19403,800,0.75,0.61538,3900,0.61491,0.20508,0.15382,4.8689
26.68,0.78,0.22,0.09,0.001,2.4176,0.028179,90,0.9716,0.11538,26680,0.11524,0.0033732,0.0032774,293.19
0.001,0.033,0.001,0.001,0.001,0.5,0.94286,1,0.029412,0.030303,1,0.029412,0.5,0.028571,0.5
12.26,8.86,13.95,18.21,0.001,0.76602,0.25264,18210,0.58049,2.0553,12260,2.0551,1.4852,0.86218,0.67322
53.6,17.7,13.2,5,0.001,2.6395,0.20947,5000,0.75175,0.28249,53600,0.28247,0.093282,0.070125,10.718
42,32.9,14.85,9,0.56,1.5533,0.36657,16.071,0.56075,0.27356,75,0.26898,0.21147,0.11927,4.3933
45.6,36.99,7.9,7.52,0.31,1.0089,0.40877,24.258,0.55212,0.2033,147.1,0.20161,0.1638,0.090712,5.8238
50.65,1.42,0.44,0.18,0.001,2.4309,0.027042,180,0.97273,0.12676,50650,0.12667,0.0035537,0.0034568,279.83
3.6,1.2,1.5,0.8,0.001,1.8727,0.19048,800,0.75,0.66667,3600,0.66611,0.22216,0.16663,4.4944
5,4,5,17,1,0.27778,0.28571,17,0.55556,4.25,5,3.4,2.8333,1.7,0.27778
0.68,1.3,0.2,3.1,0.001,0.064495,0.59633,3100,0.34343,2.3846,680,2.3828,4.5521,1.5649,0.21928
14.6,5.4,3.1,30.6,2.1,0.094801,0.23377,14.571,0.73,5.6667,6.9524,4.08,1.8323,1.3846,0.44648
9.57,3.36,0.46,0.47,0.001,0.97665,0.25093,470,0.74014,0.13988,9570,0.13984,0.049107,0.036347,20.318
14,11,3,22,1,0.13043,0.39286,22,0.56,2,14,1.8333,1.4667,0.84615,0.6087
24.9,9.2,3,10,0.1,0.29703,0.24798,100,0.73021,1.087,249,1.0753,0.4,0.2924,2.4653
22,13,2,1,1,1,0.35135,1,0.62857,0.076923,22,0.071429,0.043478,0.027778,11
75.8,3.79,1.29,0.44,0.001,2.9252,0.04686,440,0.95238,0.11609,75800,0.11606,0.0058047,0.0055283,171.88
