23.6,16.8,8.9,6.3,0.001,1.4125,0.34077,6300,0.58416,0.375,23600,0.37498,0.26694,0.15594,3.7454
9.57,3.36,0.46,0.47,0.001,0.97665,0.25093,470,0.74014,0.13988,9570,0.13984,0.049107,0.036347,20.318
50.65,1.42,0.44,0.18,0.001,2.4309,0.027042,180,0.97273,0.12676,50650,0.12667,0.0035537,0.0034568,279.83
33,26,6,5.3,0.2,1.0909,0.4,26.5,0.55932,0.20385,165,0.20229,0.15964,0.089527,6
75.8,3.79,1.29,0.44,0.001,2.9252,0.04686,440,0.95238,0.11609,75800,0.11606,0.0058047,0.0055283,171.88
4.6,4,3.4,10,1,0.30909,0.33333,10,0.53488,2.5,4.6,2,1.7857,1.0417,0.41818
2.6,0.8,2.1,0.8,0.001,2.6217,0.14545,800,0.76471,1,2600,0.99875,0.30757,0.23522,3.2459
0.001,1.78,1.02,2.16,0.42,0.39535,0.63549,5.1429,0.00056148,1.2135,0.002381,0.98182,5.1306,0.98137,0.0003876
41.9,33.61,14.3,8.94,0.6,1.499,0.37423,14.9,0.55489,0.26599,69.833,0.26133,0.21035,0.11746,4.392
14,11,3,22,1,0.13043,0.39286,22,0.56,2,14,1.8333,1.4667,0.84615,0.6087
80,10,1.5,4,0.001,0.37491,0.10929,4000,0.88889,0.4,80000,0.39996,0.049999,0.044444,19.995
5.8,2.7,1.8,0.8,0.001,2.2472,0.26214,800,0.68235,0.2963,5800,0.29619,0.13791,0.094107,7.2409
10.3,7.49,3.36,1.51,0.001,2.2237,0.35414,1510,0.57898,0.2016,10300,0.20158,0.14659,0.084874,6.8167
15,12,5.3,3.2,0.2,1.5588,0.37152,16,0.55556,0.26667,75,0.2623,0.21053,0.11765,4.4118
24.3,10.3,3.2,11.4,0.24,0.27491,0.27249,47.5,0.70231,1.1068,101.25,1.0816,0.46455,0.32721,2.0876
28,9,27,5,0.5,4.9091,0.14063,10,0.75676,0.55556,56,0.52632,0.17544,0.13333,5.0909
0.001,7.29,21.51,18.61,0.001,1.1558,0.25312,18610,0.00013716,2.5528,1,2.5525,9305,2.5521,5.3732e-05
15.6,3,1.8,1.2,0.31,1.1921,0.14706,3.871,0.83871,0.4,50.323,0.36254,0.075424,0.063458,10.331
42,32.9,14.85,9,0.56,1.5533,0.36657,16.071,0.56075,0.27356,75,0.26898,0.21147,0.11927,4.3933
4.8,18,3.9,4.5,0.001,0.86647,0.67416,4500,0.21053,0.25,4800,0.24999,0.9373,0.19736,1.0664
15,4,2,2,1,0.66667,0.19048,2,0.78947,0.5,15,0.4,0.125,0.1,5
16.7,1.12,0.86,0.28,0.001,3.0605,0.059957,280,0.93715,0.25,16700,0.24978,0.016765,0.015712,59.431
0.001,0.8,0.4,0.5,0.001,0.7984,0.66611,500,0.0012484,0.625,1,0.62422,250,0.62344,0.001996
13,3,1,2,1,0.33333,0.17647,2,0.8125,0.66667,13,0.5,0.14286,0.11765,4.3333
2.4,1.4,1,0.3,0.001,3.3223,0.29167,300,0.63158,0.21429,2400,0.21413,0.12495,0.078927,7.9734
22,13,2,1,1,1,0.35135,1,0.62857,0.076923,22,0.071429,0.043478,0.027778,11
9.52,3.27,0.47,0.52,0.001,0.90211,0.24661,520,0.74433,0.15902,9520,0.15897,0.054616,0.040654,18.273
53.6,17.7,13.2,5,0.001,2.6395,0.20947,5000,0.75175,0.28249,53600,0.28247,0.093282,0.070125,10.718
34.2,1.01,0.34,0.12,0.001,2.8099,0.028411,120,0.97131,0.11881,34200,0.11869,0.0035087,0.003408,282.64
17.3,3.2,6.5,4.5,0.4,1.3265,0.11852,11.25,0.8439,1.4063,43.25,1.25,0.25424,0.21531,3.5306
4.94,1.52,4.06,0.9,0.001,4.5061,0.14449,900,0.76471,0.59211,4940,0.59172,0.18215,0.1393,5.4828
12.26,8.86,13.95,18.21,0.001,0.76602,0.25264,18210,0.58049,2.0553,12260,2.0551,1.4852,0.86218,0.67322
11,6,4,1,0.63,2.454,0.28571,1.5873,0.64706,0.16667,17.46,0.15083,0.085985,0.056721,6.7485
24.97,5.23,2.33,3.17,1.4,0.50985,0.16077,2.2643,0.82682,0.60612,17.836,0.47813,0.12021,0.10032,5.4639
5.5,3.4,11.2,1.3,0.001,8.6088,0.16915,1300,0.61798,0.38235,5500,0.38224,0.23632,0.14605,4.2275
42.02,33.61,14.85,8.96,0.56,1.5599,0.37146,16,0.5556,0.26659,75.036,0.26222,0.21043,0.1176,4.4139
14.6,5.4,3.1,30.6,2.1,0.094801,0.23377,14.571,0.73,5.6667,6.9524,4.08,1.8323,1.3846,0.44648
9.1,11.7,5.2,1.8,0.9,1.9259,0.45,2,0.4375,0.15385,10.111,0.14286,0.18,0.082949,3.3704
9.71,3.44,0.47,0.48,0.001,0.97713,0.25257,480,0.7384,0.13953,9710,0.13949,0.049428,0.036499,20.187
14.7,3.8,10.5,2.7,0.2,3.6207,0.13103,13.5,0.79459,0.71053,73.5,0.675,0.18121,0.14439,5.069
3.9,1.3,1.5,0.8,0.001,1.8727,0.19403,800,0.75,0.61538,3900,0.61491,0.20508,0.15382,4.8689
20,5,1,2,0.001,0.49975,0.19231,2000,0.8,0.4,20000,0.39992,0.099995,0.079997,9.995
10,5,4,14,2,0.25,0.26316,7,0.66667,2.8,5,2,1.1667,0.82353,0.625
9,56,135,7,1,16.875,0.28,7,0.13846,0.125,9,0.12281,0.7,0.10606,1.125
218,120.7,126.6,142.1,0.9,0.88531,0.2594,157.89,0.64364,1.1773,242.22,1.1686,0.64915,0.41843,1.5245
247.7,148.7,78.7,192.7,0.9,0.40651,0.31299,214.11,0.62487,1.2959,275.22,1.2881,0.77514,0.48502,1.2794
159,131,34,97,0.001,0.35051,0.40432,97000,0.54828,0.74046,1.59e+05,0.74045,0.61006,0.33448,1.6392
0.001,153,395,11.7,0.001,33.758,0.2792,11700,6.5359e-06,0.076471,1,0.07647,5850,0.07647,8.5463e-05
56,78,18,173,0.001,0.10405,0.51316,1.73e+05,0.41791,2.2179,56000,2.2179,3.0892,1.291,0.3237
2000,1800,1260,3600,10,0.34903,0.35573,360,0.52632,2,200,1.989,1.791,0.94488,0.55402
54.9,8.8,80,2.5,0.001,31.987,0.061239,2500,0.86185,0.28409,54900,0.28406,0.045537,0.039246,21.951
16,38,70,28,0.001,2.4999,0.30645,28000,0.2963,0.73684,16000,0.73682,1.7499,0.51851,0.57141
10,63,176,35,0.001,5.0284,0.25301,35000,0.13699,0.55556,10000,0.55555,3.4997,0.47945,0.28571
150,60,40,70,1,0.56338,0.24,70,0.71429,1.1667,150,1.1475,0.46358,0.33175,2.1127
55,78,18,17.3,0.001,1.0404,0.51656,17300,0.41353,0.22179,55000,0.22179,0.31454,0.13007,3.179
27,28,136,8,0.001,16.998,0.1466,8000,0.49091,0.28571,27000,0.2857,0.29629,0.14545,3.3746
18,82.8,4.3,3.1,0.001,1.3866,0.78782,3100,0.17857,0.03744,18000,0.037439,0.17221,0.030754,5.8046
16,68,157,19,0.001,8.2627,0.28216,19000,0.19048,0.27941,16000,0.27941,1.1874,0.22619,0.84206
15.6,67.75,69.15,40.42,1,1.6695,0.44426,40.42,0.18716,0.59661,15.6,0.58793,2.4349,0.47919,0.37663
93.5,131.9,39,11.7,0.001,3.333,0.49887,11700,0.41482,0.088704,93500,0.088703,0.12513,0.051907,7.9908
0.001,116,70,0.001,0.001,35000,0.62365,1,8.6206e-06,8.6207e-06,1,8.6206e-06,0.5,8.6205e-06,0.5
0.001,187,609,13,0.001,46.843,0.23492,13000,5.3476e-06,0.069519,1,0.069518,6500,0.069518,7.6917e-05
10,26,147,6,0.001,24.496,0.14208,6000,0.27778,0.23077,10000,0.23076,0.59994,0.16666,1.6664
45,125,111,25,0.001,4.4398,0.44484,25000,0.26471,0.2,45000,0.2,0.55554,0.14706,1.7999
19,48,76,18,0.001,4.222,0.33566,18000,0.28358,0.375,19000,0.37499,0.94732,0.26865,1.0555
0.001,33.7,136,11.4,0.001,11.929,0.19858,11400,2.9673e-05,0.33828,1,0.33827,5700,0.33826,8.7712e-05
16,105,224,15,0.001,14.932,0.30435,15000,0.13223,0.14286,16000,0.14286,0.93744,0.12397,1.0666
25.6,67.5,69.15,40.42,0.1,1.7066,0.41602,404.2,0.27497,0.59881,256,0.59793,1.5728,0.43369,0.63179
24,109,69,0.001,0.001,34500,0.5396,1,0.18045,9.1743e-06,24000,9.1742e-06,4.1665e-05,7.5187e-06,12000
100,170,595,34,0.001,17.499,0.19653,34000,0.37037,0.2,1e+05,0.2,0.34,0.12593,2.9411
12,28,102,3,0.001,33.989,0.19718,3000,0.3,0.10714,12000,0.10714,0.24998,0.074998,3.9987
16.4,45.5,68.7,3.8,0.001,18.074,0.34839,3800,0.26494,0.083516,16400,0.083515,0.23169,0.061388,4.3147
96,111,31,88,0.19,0.35151,0.46639,463.16,0.46377,0.79279,505.26,0.79144,0.91486,0.42473,1.0886
5.5,9.2,7.7,2,0.001,3.8481,0.41071,2000,0.37415,0.21739,5500,0.21737,0.36357,0.13605,2.7486
13.2,18.7,97.4,79.5,4.7,1.1568,0.14462,16.915,0.41379,4.2513,2.8085,3.3974,4.4413,2.1721,0.15677
120,120,33,83,0.58,0.39483,0.43956,143.1,0.5,0.69167,206.9,0.68834,0.68834,0.345,1.4358
6,38,93,32,0.001,2.9062,0.27737,32000,0.13636,0.84211,6000,0.84208,5.3324,0.72726,0.18749
27,49,192,9,0.001,21.331,0.18284,9000,0.35526,0.18367,27000,0.18367,0.33332,0.11842,2.9997
23,11.8,3,0.6,0.001,4.9917,0.31217,600,0.66092,0.050847,23000,0.050843,0.026086,0.017241,38.27
185,302,27,33,0.001,0.81816,0.58755,33000,0.37988,0.10927,1.85e+05,0.10927,0.17838,0.067762,5.6059
16,98,35,64,0.001,0.54687,0.65772,64000,0.14035,0.65306,16000,0.65305,3.9998,0.5614,0.25
26,398,85,319,0.001,0.26646,0.78193,3.19e+05,0.061321,0.80151,26000,0.80151,12.269,0.75236,0.081504
30,101,48,69,0.1,0.69465,0.56425,690,0.22901,0.68317,300,0.68249,2.2924,0.52632,0.43415
57,141,38,51,0.001,0.74508,0.59746,51000,0.28788,0.3617,57000,0.3617,0.89472,0.25757,1.1176
0.001,4.9,81,172,0.001,0.47093,0.057042,1.72e+05,0.00020404,35.102,1,35.095,86000,35.088,5.8139e-06
88.7,460.8,94.9,184.6,18.3,0.46772,0.71508,10.087,0.16142,0.40061,4.847,0.38531,1.7252,0.32511,0.43716
310,498,192,371,99,0.40851,0.498,3.7475,0.38366,0.74498,3.1313,0.62144,0.90709,0.40904,0.65957
62,425,276,651,26,0.40768,0.55701,25.038,0.12731,1.5318,2.3846,1.4435,7.3977,1.269,0.091581
111,559,243,707,0.001,0.34371,0.61227,7.07e+05,0.16567,1.2648,1.11e+05,1.2648,6.3693,1.0552,0.157
26,92,39,59,0.001,0.66101,0.58599,59000,0.22034,0.6413,26000,0.6413,2.2691,0.5,0.44067
27.5,42.8,18.4,46,0.001,0.39999,0.48253,46000,0.39118,1.0748,27500,1.0747,1.6727,0.65433,0.59781
283,479,172,352,88,0.39091,0.51285,4,0.37139,0.73486,3.2159,0.62081,0.94879,0.41412,0.64318
30.4,117,44.2,138,0.1,0.32006,0.61065,1380,0.20624,1.1795,304,1.1785,4.5246,0.93559,0.22013
189,345,184,533,0.3,0.34502,0.4805,1776.7,0.35393,1.5449,630,1.5436,2.8156,0.99757,0.3544
83,60,46,48,1.5,0.92929,0.31746,32,0.58042,0.8,55.333,0.78049,0.56805,0.33218,1.6768
15,159,29,87,0.001,0.33333,0.78325,87000,0.086207,0.54717,15000,0.54717,5.7996,0.5,0.17241
92,58,44,37,0.001,1.1892,0.29897,37000,0.61333,0.63793,92000,0.63792,0.40217,0.24667,2.4864
160,130,33,96,0.1,0.34339,0.40248,960,0.55172,0.73846,1600,0.73789,0.59963,0.33092,1.6649
2,123,7,18,0.001,0.38887,0.93182,18000,0.016,0.14634,2000,0.14634,8.9955,0.144,0.1111
91,56,43,36,1,1.1622,0.29474,36,0.61905,0.64286,91,0.63158,0.3913,0.24324,2.4595
180,175,75,50,4,1.3889,0.40698,12.5,0.50704,0.28571,45,0.27933,0.27174,0.13928,3.3333
